data:text/csv;charset=utf-8,
90819,0026605,157924
90931,1718776,94336
90945,0685628,94174
91058,0133033,
91187,1863330,
91229,1759871,
91632,0231626,
91752,0257001,12599
91747,1226036,
92222,0482857,20892
92457,0069988,42457
92652,1581829,62582
92783,1541777,
93391,1541788,
93490,0337898,
93568,1056117,
93628,1020952,
93885,0195119,
93911,0949861,
93928,0462172,39172
93988,0417349,147269
93991,0199031,
94080,0121817,
94421,0372289,
94423,0221298,
94427,0329429,170359
94466,2085059,
94729,1448751,
94949,1971339,
94972,1076780,168332
95023,0145007,
95185,0901206,
95230,0159542,
95765,0214311,
95771,0285036,44251
95901,0323339,
95977,0332166,
96018,1227548,
96062,0497298,233984
96075,0442632,53803
96210,1817753,
96242,0090265,
96298,0454155,
96300,1542928,
96545,0031650,40629
96679,0368520,
96704,0391067,
96732,0141762,
96769,2155247,
96937,2193698,
96939,2109106,
97319,0015213,172538
97466,2327631,
97548,0073044,
97888,2366710,
98063,0087738,
98224,0085739,
98398,0016829,
98460,0081613,119916
98523,0106302,28790
98572,0272052,152795
98643,0037848,125409
99287,0119972,51982
99420,1634016,
99673,0089018,
99766,1696202,57290
99822,2077826,88557
99891,1391676,
99901,1869593,
99939,0293525,
100044,1806234,69372
100058,1625345,101517
100089,2199603,273740
100198,1706542,
100450,1704292,156078
100519,0112267,
100538,0818931,162806
100536,0024651,166918
100655,1337601,
101172,0038137,
101483,0134790,
101616,2429312,
102058,1325753,15257
102367,0093306,109962
102421,0862826,355551
102497,0119501,55576
102677,2087850,83382
103087,0443091,
103277,1985443,114049
103324,0051150,120303
103363,0289845,93649
103498,0273549,
103551,1668003,
103614,0121701,
103631,2395129,
104095,0452745,
104155,2380408,
104798,2660636,
104803,0077025,136991
105034,0090005,124531
105104,0189201,
105115,0093196,
105150,1082862,
105191,1488060,
105189,0333395,
105244,1753653,
105299,1638939,
105435,0121244,
105606,0378420,
105663,1515059,
105841,2445556,
105890,0092146,
105901,0133202,
106024,0079800,
106032,2145637,166986
106068,2188750,
106074,2060305,
106076,2973064,
106082,2083695,
106098,1675198,
106107,2510620,
106115,1647292,
106334,2262456,
106363,2165955,
106529,0158591,
106527,1890371,
106642,2779318,253941
106682,2215562,
106914,2167873,
107199,3216510,252995
107202,2826922,252993
107252,0401019,
107434,1450364,
107456,0104101,
107484,3415676,
107503,0182719,
107623,2928078,
107718,0362192,211779
107780,2227830,230657
107836,0185157,
107970,2178929,
108548,0898266,
108583,0072500,
108653,0262560,
108667,2285557,
108727,1937390,110414
108752,0133167,
108846,0078838,
108942,0089028,
108977,0433722,313289
108979,0213338,314040
109002,0067332,
109021,2324998,169224
109106,0054481,
109193,0046058,
109381,0121065,
109565,0139730,
109715,2127295,
109874,0493101,45514
109904,0251637,
109965,3070936,222481
110097,2093997,
110293,1606674,
110412,2262010,
110493,1619813,
110657,0104878,
110800,3261740,
110802,2359712,
110880,0048420,
110895,2364066,
111519,3725278,
111638,0251072,
111722,0827425,
111787,2768874,
112083,3264024,250651
112163,2670642,
112367,1220553,
112406,3778744,
112446,2649522,239163
112493,0459131,
112546,1148198,
112606,0056593,
112764,2675794,
112770,0605145,
112807,0098492,30146
112809,0856824,21680
112844,0386346,
113122,3822614,
113128,0030676,
113470,3564534,
113545,2138180,
113636,1765980,
113743,0021780,
113834,3981072,
113855,1714046,
113972,0308188,
114193,0444875,
114342,3630276,265189
114535,0126005,
114893,0090522,264330
114895,0309807,
114909,4047734,
114963,0322250,
115038,0088118,
115133,3096440,298573
115254,0021733,
115279,0082610,
115715,3670792,
115821,3900116,
117111,0022251,82400
118392,3069212,276690
118704,0070242,29133
118878,1339238,248785
119565,3877200,301231
120134,2635832,151153
120313,0435107,62653
120486,0109555,74309
126068,0934320,67456
126106,0167030,53285
127003,2554128,238386
127262,0046866,82046
127327,0815890,112952
128734,4438688,
132192,2821430,247668
136762,0498091,12188
139195,0092383,141334
141686,0553958,357143
141767,2232345,256515
142861,4074512,298721
143506,3241196,256955
143695,2306783,158848
144050,3646944,292739
144858,0080800,45555
146702,0032071,74751
147250,0229922,127605
147732,1740828,253426
148093,4006044,
148675,4843046,369879
148966,4883124,373162
148976,5275778,372631
149090,1194105,303950
149502,1674766,187006
149532,5248968,372981
150548,3845232,370646
150856,5189670,374454
151279,0075007,56588
151763,3355694,333040
152069,5321942,379951
152660,4471388,354297
153736,0081684,161535
154430,0058666,35335
155577,4584528,341224
155758,5310090,357706
156015,3251178,304869
156383,1370334,109606
156385,2074131,109346
157801,0278926,107732
157815,0160864,166719
157833,0102847,56438
158545,0067303,396650
158870,4591310,396918
159325,0028852,368526
161175,0170982,205386
162006,4632316,408286
162376,4574334,410612
162650,5112622,404302
163076,5655056,412252
164815,5175158,405979
